Date;Open;High;Low;Close;Adj Close;Volume
20/05/2020;1015.0;1020.0;970.0;980.0;572.8634033203125;41027400
26/05/2020;1000.0;1020.0;975.0;1000.0;584.5545043945312;49777400
27/05/2020;1020.0;1020.0;990.0;1000.0;584.5545043945312;47426900
28/05/2020;1005.0;1075.0;1000.0;1030.0;602.091064453125;137778200
29/05/2020;1015.0;1100.0;1015.0;1100.0;643.0098876953125;139275700
02/06/2020;1100.0;1185.0;1095.0;1145.0;669.3148193359375;123823700
03/06/2020;1155.0;1180.0;1150.0;1165.0;681.0059204101562;89675400
04/06/2020;1135.0;1150.0;1105.0;1120.0;680.4773559570312;100659200
05/06/2020;1130.0;1130.0;1085.0;1100.0;668.3259887695312;73108200
08/06/2020;1110.0;1175.0;1110.0;1160.0;704.7801513671875;88605200
09/06/2020;1165.0;1240.0;1160.0;1180.0;716.9315185546875;117226600
10/06/2020;1175.0;1180.0;1100.0;1100.0;668.3259887695312;65467500
11/06/2020;1100.0;1110.0;1055.0;1070.0;650.098876953125;31930900
12/06/2020;1060.0;1070.0;1010.0;1060.0;644.0232543945312;49986300
15/06/2020;1070.0;1085.0;1010.0;1020.0;619.720458984375;35356800
16/06/2020;1040.0;1085.0;1040.0;1075.0;653.13671875;48677100
17/06/2020;1085.0;1095.0;1055.0;1070.0;650.098876953125;38939600
18/06/2020;1065.0;1075.0;1030.0;1030.0;625.7960815429688;59061200
19/06/2020;1040.0;1060.0;1035.0;1040.0;631.871826171875;70199400
22/06/2020;1050.0;1055.0;1020.0;1030.0;625.7960815429688;38485700
23/06/2020;1050.0;1050.0;990.0;1005.0;610.6068725585938;80075000
24/06/2020;1015.0;1050.0;1010.0;1045.0;634.9096069335938;80781000
25/06/2020;1035.0;1035.0;1005.0;1005.0;610.6068725585938;58913100
26/06/2020;1025.0;1025.0;1010.0;1015.0;616.6826171875;40144900
29/06/2020;1015.0;1025.0;1000.0;1005.0;610.6068725585938;53482300
30/06/2020;1020.0;1020.0;990.0;995.0;604.53125;88016000
01/07/2020;995.0;1045.0;990.0;1045.0;634.9096069335938;98514700
02/07/2020;1055.0;1080.0;1045.0;1050.0;637.947509765625;170254500
03/07/2020;1060.0;1080.0;1035.0;1040.0;631.871826171875;55575100
06/07/2020;1050.0;1065.0;1035.0;1065.0;647.0610961914062;42400100
07/07/2020;1080.0;1085.0;1050.0;1050.0;637.947509765625;94523900
08/07/2020;1050.0;1075.0;1050.0;1065.0;647.0610961914062;60115300
09/07/2020;1065.0;1125.0;1060.0;1095.0;665.2880859375;138899500
10/07/2020;1095.0;1110.0;1080.0;1085.0;659.21240234375;70076300
13/07/2020;1085.0;1160.0;1080.0;1155.0;701.7423095703125;134592000
14/07/2020;1145.0;1170.0;1125.0;1155.0;701.7423095703125;127484300
15/07/2020;1170.0;1180.0;1125.0;1130.0;686.5530395507812;60120300
16/07/2020;1135.0;1150.0;1105.0;1110.0;674.4015502929688;62091100
17/07/2020;1115.0;1160.0;1110.0;1155.0;701.7423095703125;93909100
20/07/2020;1155.0;1165.0;1130.0;1130.0;686.5530395507812;46512900
21/07/2020;1130.0;1145.0;1115.0;1135.0;689.5908813476562;52362800
22/07/2020;1140.0;1150.0;1120.0;1125.0;683.5151977539062;38753200
23/07/2020;1130.0;1145.0;1120.0;1130.0;686.5530395507812;64260600
24/07/2020;1130.0;1135.0;1085.0;1090.0;662.2503051757812;57475100
27/07/2020;1090.0;1110.0;1080.0;1110.0;674.4015502929688;26677900
28/07/2020;1115.0;1125.0;1075.0;1090.0;662.2503051757812;85970300
29/07/2020;1085.0;1095.0;1070.0;1085.0;659.21240234375;32109100
30/07/2020;1090.0;1100.0;1075.0;1085.0;659.21240234375;41227100
03/08/2020;1090.0;1095.0;1010.0;1030.0;625.7960815429688;59722100
04/08/2020;1040.0;1060.0;1030.0;1035.0;628.833984375;46118000
05/08/2020;1045.0;1055.0;1030.0;1050.0;637.947509765625;32037900
06/08/2020;1060.0;1120.0;1055.0;1115.0;677.4395141601562;78094300
07/08/2020;1115.0;1130.0;1085.0;1095.0;665.2880859375;42983500
10/08/2020;1095.0;1140.0;1095.0;1140.0;692.6287231445312;83699000
11/08/2020;1145.0;1170.0;1125.0;1150.0;698.7044067382812;77790400
12/08/2020;1150.0;1150.0;1105.0;1120.0;680.4773559570312;46530100
13/08/2020;1120.0;1130.0;1105.0;1115.0;677.4395141601562;40519400
